  ,Serial Number,Company Name                                                    ,Employee Markme             ,Description                    ,Leave
0 ,9788189999599,TALES OF SHIVA                                                  ,Mark                        ,mark                           ,0
1 ,9780099578079,1Q84 THE COMPLETE TRILOGY                                       ,HARUKI MURAKAMI             ,Mark                           ,0
2 ,9780198082897,MY KUMAN                                                        ,Mark                        ,Mark                           ,0
3 ,9780007880331,THE GOD OF SMAAL THINGS                                         ,ARUNDHATI ROY               ,4TH HARPER COLLINS             ,2
4 ,9780545060455,THE BLACK CIRCLE                                                ,Mark                        ,4TH HARPER COLLINS             ,0
5 ,9788126525072,THE THREE LAWS OF PERFORMANCE                                   ,Mark                        ,4TH HARPER COLLINS             ,0
6 ,9789381626610,CHAMarkKYA MANTRA                                               ,Mark                        ,4TH HARPER COLLINS             ,0
7 ,9788184513523,59.FLAGS                                                        ,Mark                        ,4TH HARPER COLLINS             ,0
8 ,9780743234801,THE POWER OF POSITIVE THINKING FROM                             ,Mark                        ,A & A PUBLISHER                ,0
9 ,9789381529621,YOU CAN IF YO THINK YO CAN                                      ,PEALE                       ,A & A PUBLISHER                ,0
10,9788183223966,DONGRI SE DUBAI TAK (MPH)                                       ,Mark                        ,A & A PUBLISHER                ,0
11,9788187776005,MarkLANDA ADYTAN KOSH                                           ,Mark                        ,AADISH BOOK DEPOT              ,0
12,9788187776013,MarkLANDA VISHAL SHABD SAGAR                                    ,-                           ,AADISH BOOK DEPOT              ,1
13,8187776021   ,MarkLANDA CONCISE DICT(ENG TO HINDI)                            ,Mark                        ,AADISH BOOK DEPOT              ,0
14,9789384716165,LIEUTEMarkMarkT GENERAL BHAGAT: A SAGA OF BRAVERY AND LEADERSHIP,Mark                        ,AAM COMICS                     ,2
15,9789384716233,LN. MarkIK SUNDER SINGH                                         ,N.A                         ,AAN COMICS                     ,0
16,9789384850319,I AM KRISHMark                                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
17,9789384850357,DON'T TEACH ME TOLERANCE INDIA                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
18,9789384850364,MUJHE SAHISHNUTA MAT SIKHAO BHARAT                              ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
19,9789384850746,SECRETS OF DESTINY                                              ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
20,9789384850753,BHAGYA KE RAHASYA (HINDI) SECRET OF DESTINY                     ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,1
21,9788192669038,MEIN MANN HOON                                                  ,DEEP TRIVEDI                ,AATMAN INNOVATIONS PVT LTD     ,0
22,9789384850098,I AM THE MIND                                                   ,DEEP TRIVEDI                ,AATMARAM & SONS                ,0
23,9780349121420,THE ART OF CHOOSING                                             ,SHEEMark IYENGAR            ,ABACUS                         ,0
24,9780349123462,IN SPITE OF THE GODS                                            ,EDWARD LUCE                 ,ABACUS                         ,1
25,9788188440061,QUESTIONS & ANWERS ABOUT THE GREAT BIBLE                        ,Mark                        ,ABC PUBLISHERS DISTRIBUTORS    ,4
26,9789382088189,NIBANDH EVAM KAHANI LEKHAN { HINDI }                            ,Mark                        ,ABHI BOOKS                     ,1
27,9789332703759,INDIAN ECONOMY SINCE INDEPENDENCE 27TH /E                       ,UMA KAPILA                  ,ACADEMIC FOUNDATION            ,1
28,9788171888016,ECONOMIC DEVELOPMENT AND POLICY IN INDIA                        ,UMA KAPILA                  ,ACADEMIC FOUNDATION            ,1
29,9789332704343,INDIAN ECONOMY PERFORMANCE 18TH/E  2017-2018                    ,UMA KAPILA                  ,ACADEMIC FOUNDATION            ,2
30,9789332703735,INDIAN ECONOMIC DEVELOPMENTSINCE 1947 (NO RETURMarkBLE)         ,UMA KAPILA                  ,ACADEMIC FOUNDATION            ,1
31,9789383454143,PRELIMS SPECIAL READING COMPREHENSION PAPER II CSAT             ,MarkGENDRA PRATAP           ,ACCESS PUBLISHING INDIA PVT.LTD,0
32,9789383454204,THE CONSTITUTION OF INDIA 2ND / E                               ,AR KHAN                     ,ACCESS PUBLISHING INDIA PVT.LTD,10
33,9789386361011,"INDIAN HERITAGE ,ART & CULTURE"                                ,MADHUKAR                    ,ACCESS PUBLISHING INDIA PVT.LTD,10
34,9789383454303,BHARAT KA SAMVIDHAN                                             ,AR KHAN                     ,ACCESS PUBLISHING INDIA PVT.LTD,4
35,9789383454471,"ETHICS, INTEGRITY & APTITUDE ( 3RD/E)"                         ,"P N ROY ,G SUBBA RAO"      ,ACCESS PUBLISHING INDIA PVT.LTD,10
36,9789383454563,GENERAL STUDIES PAPER -- I (2016)                               ,Mark                        ,ACCESS PUBLISHING INDIA PVT.LTD,0
37,9789383454570,GENERAL STUDIES PAPER - II (2016)                               ,Mark                        ,ACCESS PUBLISHING INDIA PVT.LTD,0
38,9789383454693,INDIAN AND WORLD GEOGRAPHY 2E                                   ,D R KHULLAR                 ,ACCESS PUBLISHING INDIA PVT.LTD,10
39,9789383454709,VASTUNISTHA PRASHN SANGRAHA: BHARAT KA ITIHAS                   ,MEEMarkKSHI KANT            ,ACCESS PUBLISHING INDIA PVT.LTD,0
40,9789383454723,"PHYSICAL, HUMAN AND ECONOMIC GEOGRAPHY"                        ,D R KHULLAR                 ,ACCESS PUBLISHING INDIA PVT.LTD,4
41,9789383454730,WORLD GEOGRAPHY                                                 ,DR KHULLAR                  ,ACCESS PUBLISHING INDIA PVT.LTD,5
42,9789383454822,INDIA: MAP ENTRIES IN GEOGRAPHY                                 ,MAJID HUSAIN                ,ACCESS PUBLISHING INDIA PVT.LTD,5
43,9789383454853,GOOD GOVERMarkNCE IN INDIA 2/ED.                                ,G SUBBA RAO                 ,ACCESS PUBLISHING INDIA PVT.LTD,1
44,9789383454884,KAMYABI KE SUTRA-CIVIL SEWA PARIKSHA AAP KI MUTTHI MEIN         ,ASHOK KUMAR                 ,ACCESS PUBLISHING INDIA PVT.LTD,0
45,9789383454891,GENERAL SCIENCE PRELIRY EXAM                                    ,Mark                        ,ACCESS PUBLISHING INDIA PVT.LTD,0
46,9781742860190,SUCCESS AND DYSLEXIA                                            ,SUCCESS AND DYSLEXIA        ,ACER PRESS                     ,0
47,9781742860114,AN EXTRAORDIMarkRY SCHOOL                                       ,SARA JAMES                  ,ACER PRESS                     ,0
48,9781742861463,POWERFUL PRACTICES FOR READING IMPROVEMENT                      ,GLASSWELL                   ,ACER PRESS                     ,0
49,9781742862859,EARLY CHILDHOOD PLAY MATTERS                                    ,SHOMark BASS                ,ACER PRESS                     ,0
50,9781742863641,LEADING LEARNING AND TEACHING                                   ,STEPHEN DINHAM              ,ACER PRESS                     ,0
51,9781742863658,READING AND LEARNING DIFFICULTIES                               ,PETER WESTWOOD              ,ACER PRESS                     ,0
52,9781742863665,NUMERACY AND LEARNING DIFFICULTIES                              ,PETER WOODLAND]             ,ACER PRESS                     ,0
53,9781742863771,TEACHING AND LEARNING DIFFICULTIES                              ,PETER WOODLAND              ,ACER PRESS                     ,0
54,9781742861678,USING DATA TO IMPROVE LEARNING                                  ,ANTHONY SHADDOCK            ,ACER PRESS                     ,0
55,9781742862484,PATHWAYS TO SCHOOL SYSTEM IMPROVEMENT                           ,MICHAEL GAFFNEY             ,ACER PRESS                     ,0
56,9781742860176,FOR THOSE WHO TEACH                                             ,PHIL RIDDEN                 ,ACER PRESS                     ,0
57,9781742860213,KEYS TO SCHOOL LEADERSHIP                                       ,PHIL RIDDEN & JOHN DE NOBILE,ACER PRESS                     ,0
58,9781742860220,DIVERSE LITERACIES IN EARLY CHILDHOOD                           ,LEONIE ARTHUR               ,ACER PRESS                     ,0
59,9781742860237,CREATIVE ARTS IN THE LIVESOF YOUNG CHILDREN                     ,ROBYN EWING                 ,ACER PRESS                     ,0
60,9781742860336,SOCIAL AND EMOTIOMarkL DEVELOPMENT                              ,ROS LEYDEN AND ERIN SHALE   ,ACER PRESS                     ,0
61,9781742860343,DISCUSSIONS IN SCIENCE                                          ,TIM SPROD                   ,ACER PRESS                     ,0
62,9781742860404,YOUNG CHILDREN LEARNING MATHEMATICS                             ,ROBERT HUNTING              ,ACER PRESS                     ,0
63,9781742860626,COACHING CHILDREN                                               ,KELLY SUMICH                ,ACER PRESS                     ,1
64,9781742860923,TEACHING PHYSICAL EDUCATIOMarkL IN PRIMARY SCHOOL               ,JANET L CURRIE              ,ACER PRESS                     ,0
65,9781742861111,ASSESSMENT AND REPORTING                                        ,PHIL RIDDEN AND SANDY       ,ACER PRESS                     ,0
66,9781742861302,COLLABORATION IN LEARNING                                       ,MAL LEE AND LORRAE WARD     ,ACER PRESS                     ,0
67,9780864315250,RE-IMAGINING EDUCATIMarkL LEADERSHIP                            ,BRIAN J.CALDWELL            ,ACER PRESS                     ,0
68,9780864317025,TOWARDS A MOVING SCHOOL                                         ,FLEMING & KLEINHENZ         ,ACER PRESS                     ,0
69,9780864317230,DESINGNING A THINKING A CURRICULAM                              ,SUSAN WILKS                 ,ACER PRESS                     ,0
70,9780864318961,LEADING A DIGITAL SCHOOL                                        ,MAL LEE AND MICHEAL GAFFNEY ,ACER PRESS                     ,0
71,9780864319043,NUMERACY                                                        ,WESTWOOD                    ,ACER PRESS                     ,0
72,9780864319203,TEACHING ORAL LANGUAGE                                          ,JOHN MUNRO                  ,ACER PRESS                     ,0
73,9780864319449,SPELLING                                                        ,WESTWOOD                    ,ACER PRESS                     ,0
74,9788189999803,STORIES OF SHIVA                                                ,Mark                        ,ACK                            ,0
76,9788184820355,HEROES FROM THE MAHABHARTA { 5-IN-1 }                           ,Mark                        ,ACK                            ,0
78,9788184820645,TALES OF THE MOTHER GODDESS                                     ,-                           ,ACK                            ,0
79,9788184820652,ADVENTURES OF KRISHMark                                         ,Mark                        ,ACK                            ,0
80,9788184822113,MAHATMA GANDHI                                                  ,Mark                        ,ACK                            ,1
81,9788184822120,TALES FROM THE PANCHATANTRA 3-IN-1                              ,-                           ,ACK                            ,0
82,9788184821482,YET MORE TALES FROM THE JATAKAS { 3-IN-1 }                      ,AMarkNT PAI                 ,ACK                            ,0
83,9788184825763,LEGENDARY RULERS OF INDIA                                       ,-                           ,ACK                            ,0
84,9788184825862,GREAT INDIAN CLASSIC                                            ,Mark                        ,ACK                            ,0
85,9788184823219,TULSIDAS ' RAMAYAMark                                           ,Mark                        ,ACK                            ,0
86,9788184820782,TALES OF HANUMAN                                                ,-                           ,ACK                            ,0
87,9788184820089,VALMIKI'S RAMAYAMark                                            ,A C K                       ,ACK                            ,1
88,9788184825213,THE BEST OF INIDAN WIT AND WISDOM                               ,Mark                        ,ACK                            ,0
89,9788184820997,MORE TALES FROM THE PANCHTANTRA                                 ,AMarkNT PAL                 ,ACK                            ,0
90,9788184824018,THE GREAT MUGHALS {5-IN-1}                                      ,AMarkNT.                    ,ACK                            ,0
91,9788184824049,FAMOUS SCIENTISTS                                               ,Mark                        ,ACK                            ,0
92,9788184825978,KOMarkRK                                                        ,Mark                        ,ACK                            ,0
93,9788184826098,THE MUGHAL COURT                                                ,REEMark                     ,ACK                            ,0
94,9788184821536,MORE STORIES FROM THE JATAKAS                                   ,Mark                        ,ACK                            ,0
95,9788184821543,MORE TALES OF BIRBAL                                            ,-                           ,ACK                            ,0
96,9788184821550,TALES FROM THE JATAKAS                                          ,-                           ,ACK                            ,0
97,9788184821567,RAMarkS OF MEWAR                                                ,-                           ,ACK                            ,0
98,9788184821574,THE SONS OF THE PANDAVAS                                        ,-                           ,ACK                            ,0
